epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.059,1.14323,1.70802,1.29843,0.44678,0.34239,0.27029,0.14601,1.55977,1.87086,1.49568,0.000553578,0.000553578,0.000553578
2,222.832,1.34604,1.60387,1.44075,0.51628,0.31678,0.29388,0.14151,1.78717,1.91286,1.79912,0.00109552,0.00109552,0.00109552
3,328.967,1.40228,1.58992,1.4851,0.51033,0.39169,0.3636,0.1796,1.67576,1.71027,1.61569,0.0016237,0.0016237,0.0016237
4,436.251,1.38122,1.5248,1.47192,0.58795,0.40446,0.39136,0.21098,1.60536,1.59589,1.56083,0.00160511,0.00160511,0.00160511
5,545.316,1.34726,1.4434,1.45526,0.63695,0.38904,0.42225,0.2254,1.67035,1.61131,1.56864,0.00158448,0.00158448,0.00158448
6,655.334,1.31,1.41829,1.44104,0.58377,0.41193,0.40226,0.21571,1.59356,1.52363,1.52553,0.00156385,0.00156385,0.00156385
7,764.341,1.28541,1.3502,1.41487,0.61378,0.444,0.45588,0.24556,1.57426,1.53221,1.51171,0.00154323,0.00154323,0.00154323
8,874.79,1.27273,1.3324,1.40897,0.56051,0.41958,0.40383,0.21921,1.5611,1.56429,1.53479,0.0015226,0.0015226,0.0015226
9,982.061,1.25632,1.29471,1.39204,0.62575,0.4549,0.45729,0.25716,1.54294,1.46309,1.50505,0.00150197,0.00150197,0.00150197
10,1089.36,1.23472,1.2672,1.37678,0.67839,0.44955,0.49295,0.28849,1.49383,1.30871,1.45201,0.00148134,0.00148134,0.00148134
11,1196.67,1.20811,1.22922,1.35922,0.70937,0.44312,0.50883,0.29793,1.47562,1.34815,1.42587,0.00146071,0.00146071,0.00146071
12,1303.93,1.20167,1.20524,1.36184,0.70284,0.40471,0.4598,0.27075,1.50341,1.3551,1.44276,0.00144008,0.00144008,0.00144008
13,1411.02,1.182,1.20103,1.35291,0.69495,0.46075,0.49434,0.29743,1.46693,1.25822,1.44162,0.00141945,0.00141945,0.00141945
14,1518.67,1.16988,1.1611,1.33862,0.67414,0.51085,0.52654,0.31604,1.43409,1.23428,1.41014,0.00139882,0.00139882,0.00139882
15,1625.98,1.16781,1.16571,1.33904,0.69077,0.46469,0.5078,0.3137,1.4547,1.26715,1.39874,0.00137819,0.00137819,0.00137819
16,1733.76,1.15628,1.14508,1.32886,0.73833,0.48801,0.54392,0.33915,1.43756,1.23712,1.39245,0.00135756,0.00135756,0.00135756
17,1942.62,1.14389,1.12001,1.32248,0.74879,0.48121,0.53134,0.33119,1.4073,1.20518,1.39453,0.00133693,0.00133693,0.00133693
18,2052.28,1.13499,1.113,1.31575,0.66446,0.51577,0.5416,0.32859,1.41519,1.19304,1.38484,0.0013163,0.0013163,0.0013163
19,2160.8,1.1281,1.08434,1.30268,0.69143,0.50018,0.53593,0.34023,1.41962,1.21557,1.38584,0.00129568,0.00129568,0.00129568
